command_name	command_description	type	parameters	parameter_type	returns	return_type
import gi	"used to load the PyGObject library, which provides Python bindings for the Gobject Introspection framework"	import	None			None
from gi.repository import Gtk	used to import the Gtk library	import	None			None
from gi.repository import Glib	"general-purpose, portable utility library, which provides many useful data type, macros, type conversions, string utilities, file utilities, a mainloop abstraction, and so on"	import	None			None
Gtk.ApplicationWindow()	Used to create a Gtk Application window	constructor	"application, title"	"Gtk.Application, str"		Gtk.ApplicationWindow
Glib.access()	"A wrapper for the POSIX access() function. This function is used to test a pathname for one or several of read, write or execute permissions, or just existence."	function	"filename, mode"	"str, int"	"zero if the pathname refers to an existing file system object that has all the tested permissions, or -1 otherwise or on error."	int
Glib.aligned_alloc()	"This function is similar to malloc(), allocating (n_blocks * n_block_bytes) bytes, but care is taken to align the allocated memory to with the given alignment value. Additionally, it will detect possible overflow during multiplication. If the allocation fails (because the system is out of memory), the program is terminated. Aligned memory allocations returned by this function can only be freed using aligned_free_sized() or aligned_free()."	function	"n_blocks, n_block_bytes, alignment"	"int, int ,int"	the allocated memory	Any | None
Glib.aligned_alloc0()	"This function is similar to aligned_alloc(), but it will also clear the allocated memory before returning it."	function	"n_blocsk, n_block_bytes, alignment"	"int, int, int"	"the allocated, cleared memory"	Any | None
Glib.aligned_free()	Frees the memory allocated by aligned_alloc().	function	mem	Any	None	None
Glib.aligned_free_sized()	"Frees the memory pointed to by mem, assuiming it is has the given size and alignment. If mem is None this is a no-op (ans size is ignored). It is an error if size doesn't match the size or alignment doesn't match the alignment, passed when mem was allocated. size and alignment are passed to this function to allow optimization in the allocator. If you don't know either of them, use aligned_free() instead."	function	"mem, alignment, size"	"Any, int, int"	None	None
Glib.ascii_digit_value()	"Determines the numeric value of a character as a decimal digit. If the character is not a decimal digit according to ascii_isdigit, -1 is returned. Differs from unichar_digit_value because it takes a char, so there's no worry about sign extension if characters are signed."	function	c	int	"the numerical value of c if it is a decimal digit, -1 otherwise"	int
Glib.ascii_dtostr()	Converts a gdouble to a string, using the ‘.’ as decimal point.	function	buffer, buf_len, d	str, int, float	the pointer to the buffer with the converted string	str
Glib.ascii_formatd()	Converts a gdouble to a string, using the ‘.’ as decimal point. To format the number you pass in a printf()-style format string. Allowed conversion specifiers are ‘e’, ‘E’, ‘f’, ‘F’, ‘g’ and ‘G’.	function	buffer, buf_len, format, d	str, int, str, float	the pointer to the buffer with the converted string	str
Glib.ascii_strcasecmp()	Compare two strings, ignoring the case of ASCII characters.	function	s1, s2	str, str	0 if the strings match, a negative value if s1 < s2, or a positive value if s1 > s2	int
Glib.ascii_strdown()	Converts all upper case ASCII letters to lower case ASCII letters, with semantics that exactly match ascii_tolower.	function	str, len	str, int	a newly-allocated string, with all the upper case characters in str converted to lower case. (Note that this is unlike the old strdown, which modified the string in place.)	str
Glib.ascii_string_to_signed()	A convenience function for converting a string to a signed number.	function	str, base, min, max	str, int, int, int	true if str was a number, false otherwise	tuple[bool, int]
Glib.ascii_string_to_unsigned()	A convenience function for converting a string to an unsigned number.	function	str, base, min, max	str, int, int, int	true if str was a number, false otherwise	tuple[bool, int]
Glib.ascii_strncasecmp()	Compare s1 and s2, ignoring the case of ASCII characters and any characters after the first n in each string. If either string is less than n bytes long, comparison will stop at the first nul byte encountered.	function	s1, s2, n	str, str, int	0 if the strings match, a negative value if s1 < s2, or a positive value if s1 > s2	int
Glib.ascii_strtod()	Converts a string to a floating point value.	function	nptr	str	the converted value	tuple[float, str]
Glib.ascii_strtoll()	Converts a string to a gint64 value.	function	nptr, base	str, int	the converted value, or zero on error	tuple[int, str]
Glib.ascii_strtoull()	Converts a string to a guint64 value.	function	nptr, base	str, int	the converted value, or zero on error	tuple[int, str]
